theta2 RA DEC
0.269 355.56 57.3841
0.033 355.22 57.9792
0.045 355.045 57.7443
0.213 355.572 57.4691
0.033 355.217 57.9787
0.222 355.034 57.381
0.025 355.102 57.8552
0.017 355.254 57.9303
0.273 355.743 57.6276
0.2 355.586 58.0949
0.067 355.055 57.9705
0.188 355.683 57.7892
0.276 355.264 58.3252
0.007 355.173 57.7685
0.058 355.124 57.5947
0.32 354.716 57.6126
0.074 355.506 57.7085
0.051 355.389 57.9781
0.132 355.573 57.9667
0.229 355.685 57.9994
0.017 355.136 57.7363
0.36 355.669 57.3701
0.297 354.813 57.4741
0.257 354.956 58.213
0.233 355.634 58.0923
0.019 355.255 57.9377
0.127 355.511 58.0429
0.091 355.301 58.0973
0.13 354.901 57.8894
0.395 354.628 57.8893
0.231 355.672 58.0293
0.244 355.423 57.3373
0.032 355.072 57.7867
0.295 355.622 57.4046
0.025 355.098 57.7564
0.036 355.329 57.6275
0.353 355.196 57.2083
0.268 354.777 58.0115
0.256 355.362 57.3067
0.362 355.825 57.623
0.267 355.081 57.3116
0.253 354.774 57.6367
0.051 355.024 57.7909
0.046 355.366 57.9803
0.224 355.404 57.3526
0.083 355.512 57.6809
0.1 355.128 58.0917
0.033 355.358 57.6539
0.229 355.692 57.9834
0.105 355.544 57.9369
0.151 354.862 57.8244
0.201 355.164 57.3599
0.013 355.145 57.8451
0.236 355.596 58.141
0.019 355.342 57.6969
0.04 355.074 57.8954
0.17 355.059 57.4348
0.128 354.91 57.69
0.211 355.21 57.3424
0.066 355.096 57.5942
0.275 355.289 58.3229
0.213 354.805 57.9226
0.298 355.137 57.2659
0.345 354.817 57.4031
0.309 355.215 58.3548
0.024 355.3 57.9465
0.229 355.352 57.3325
0.11 355.129 58.1088
0.381 355.194 58.4147
0.234 354.823 57.5722
0.074 355.431 57.5969
0.297 354.709 57.7327
0.223 354.798 57.9357
0.005 355.247 57.7294
0.296 355.662 58.1549
0.174 355.144 58.2034
0.065 355.185 57.5535
0.286 354.72 57.7302
0.188 355.249 58.2336
0.189 354.815 57.8079
0.233 355.492 58.2175
0.145 355.629 57.7606
0.027 355.086 57.7923
0.193 355.654 57.9728
0.056 355.168 58.0219
0.363 355.851 57.8453
0.047 355.218 58.0144
0.011 355.32 57.7216
0.332 354.86 57.3758
0.371 355.212 57.1921
0.297 355.056 57.2905
0.014 355.151 57.7349
0.031 355.401 57.8904
0.053 355.343 58.0104
0.332 354.683 57.9029
