theta2 RA DEC
0.042 357.453 58.8276
0.191 356.814 58.8338
0.302 357.353 58.2602
0.178 357.121 59.2015
0.165 357.635 58.9292
0.104 356.944 58.6989
0.297 357.12 58.2707
0.023 357.211 58.6535
0.159 357.645 58.7454
0.211 357.556 58.457
0.33 357.183 58.2294
0.215 357.684 58.6365
0.171 357.561 59.0725
0.234 356.865 59.0923
0.147 357.486 59.1021
0.226 357.052 58.3679
0.292 356.772 59.0521
0.048 357.108 58.9665
0.227 357.59 58.4661
0.336 357.038 59.3393
0.029 357.08 58.8028
0.29 357.747 59.0082
0.137 357.081 58.4708
0.298 357.748 59.0238
0.11 357.313 58.4743
0.17 357.144 58.4014
0.174 356.84 58.7234
0.156 357.615 58.95
0.077 356.998 58.6837
0.35 357.246 59.3916
0.072 357.252 58.5317
0.156 357.561 59.0431
0.169 356.884 58.988
0.041 357.118 58.6466
0.001 357.237 58.7712
0.366 357.645 58.3417
0.135 357.162 58.4432
0.115 357.57 58.9135
0.064 357.491 58.7235
0.238 357.478 58.3685
0.291 356.954 58.3492
0.175 356.961 59.1027
0.188 357.045 58.4177
0.32 356.921 58.3396
0.208 357.276 59.2553
0.095 356.949 58.7325
0.342 357.625 58.351
0.095 357.009 58.6077
0.231 357.711 58.9358
0.261 356.93 58.4021
0.255 357.627 59.136
0.149 357.633 58.7546
0.357 357.227 58.2029
0.222 357.145 59.2593
0.217 357.485 58.3981
0.17 357.615 58.6074
0.033 357.342 58.9563
0.203 357.402 58.3759
0.188 357.667 58.682
0.072 356.993 58.8768
0.299 357.724 58.5277
0.394 356.907 58.2741
0.151 357.324 58.4186
0.38 356.941 59.3336
0.357 356.94 59.3106
0.171 357.017 58.4581
0.05 357.426 58.9373
0.394 357.373 59.4155
0.333 357.017 59.3277
0.328 357.758 59.0653
0.189 357.295 59.2324
0.26 357.203 59.3078
0.217 357.583 58.4741
0.193 357.095 58.389
0.087 357.345 59.0792
0.086 357.446 58.5821
0.378 356.913 59.3144
0.363 356.994 58.2546
0 357.25 58.8
0.131 357.605 58.8699
0.03 357.126 58.6788
0.304 356.739 58.592
0.082 356.994 58.6709
0.313 357.626 58.3855
0.078 357.257 58.5208
0.068 357.024 58.9308
0.2 357.504 58.4317
0.357 356.655 58.8528
0.056 357.219 58.5654
0.333 357.091 59.3548
0.239 357.724 58.9192
0.168 357.659 58.8204
0.008 357.24 58.8889
0.199 357.161 59.2371
0.293 357.638 59.1775
0.121 357.452 58.5171
0.131 356.911 58.9268
0.055 357.321 59.0236
0.097 357.544 58.6981
0.346 356.871 59.2497
0.387 357.558 58.2598
0.157 356.935 59.0398
0.067 357.02 58.9178
0.354 357.613 59.2711
0.117 357.123 58.4823
0.121 357.119 58.4776
0.057 357.488 58.7851
0.192 357.11 58.3848
0.021 357.251 58.6551
0.04 357.117 58.9494
0.119 357.537 58.9919
0.353 356.84 58.3702
0.213 357.618 58.5209
0.169 357.062 58.4346
0.122 357.527 58.5869
0.023 357.288 58.6531
0.103 357.435 59.0623
0.058 357.013 58.8417
0.217 356.834 58.5909
0.258 357.735 58.6488
0.176 357.665 58.7416
0.271 357.318 58.2839
0.031 357.298 58.9695
0.309 356.981 59.2862
0.208 357.174 58.3503
0.187 357.677 58.8707
0.143 356.932 58.5953
0.166 357.613 58.6142
0.187 356.818 58.7767
0.289 356.735 58.9533
0.177 357.648 58.6642
0.218 357.004 58.4032
0.142 357.009 59.0893
0.235 357.291 59.283
0.194 357.268 58.3599
0.361 357.312 58.2024
0.03 357.378 58.6832
0.132 357.613 58.7973
0.259 357.323 58.2963
0.101 357.016 58.5853
0.004 357.313 58.7992
0.111 356.953 58.9501
0.23 357.235 59.2794
0.363 357.574 58.2922
0.31 356.87 58.3928
0.382 357.722 58.4014
0.071 357.135 59.0405
0.015 357.36 58.7453
0.292 357.789 58.8441
0.116 357.578 58.709
0.019 357.112 58.8074
0.305 357.775 58.9716
0.345 356.7 59.0066
0.081 356.975 58.8733
0.117 357.1 58.4928
0.342 356.886 59.2576
0.325 357.762 59.0498
0.036 357.243 58.9896
0.069 356.987 58.7931
0.012 357.212 58.9029
0.151 357.094 58.444
0.069 357.335 58.5514
0.197 357.685 58.8865
0.07 357.33 59.0521
0.313 357.166 59.3531
0.116 357.506 59.0243
0.032 357.42 58.8548
0.101 356.996 58.9905
0.231 357.04 58.3676
0.28 357.755 58.9579
0.059 357.364 59.0144
0.055 357.146 59.0104
0.153 357.503 58.5017
0.255 357.563 58.404
0.196 357.612 59.0549
0.171 356.841 58.7395
0.051 357.272 59.0248
0.252 356.91 58.4302
0.085 357.383 59.0596
0.112 357.045 58.5352
0.178 357.258 59.2218
0.385 356.82 59.2469
0.107 356.99 58.6013
0.188 357.468 58.4255
0.13 356.916 58.6638
0.241 357.736 58.8683
0.23 357.201 59.2771
0.142 357.379 58.446
0.091 357.095 59.0586
0.093 356.945 58.7878
0.319 357.63 59.218
0.303 356.714 58.9248
0.027 357.089 58.766
0.383 357.259 59.4188
0.09 356.981 58.6662
0.346 357.591 59.2794
0.299 357.751 58.5811
0.013 357.14 58.8287
0.088 357.46 58.5907
0.351 356.681 58.6344
0.185 356.859 58.6209
0.182 356.925 59.0764
0.251 357.472 59.2489
0.352 356.686 58.6165
0.321 356.877 59.2261
0.051 357.33 58.5886
0.223 356.783 58.727
0.093 357.401 58.5351
0.255 357.338 58.3027
0.125 357.032 59.0781
0.288 357.759 58.9692
0.234 356.807 58.6064
0.027 357.411 58.7648
0.161 357.407 59.1691
0.096 357.191 59.1042
0.001 357.223 58.8165
0.384 356.817 59.2435
0.087 357.35 59.0775
0.221 357.003 58.3999
0.319 357.472 59.3193
0.082 356.986 58.6881
0.182 356.931 59.0827
0.23 357.111 59.2591
0.376 357.843 58.6442
0.023 357.357 58.9071
0.303 356.7 58.8099
0.088 357.545 58.7683
0.011 357.221 58.9007
0.015 357.161 58.7162
0.303 357.092 59.3273
0.383 357.859 58.6906
0.334 357.58 58.3255
0.183 357.591 58.5415
0.221 357.67 58.5893
0.016 357.373 58.8314
0.256 356.899 59.1647
0.122 357.113 59.1214
0.134 357.561 58.9925
0.279 356.928 58.3815
0.392 356.699 59.0972
0.188 356.934 59.0974
0.347 357.666 58.3831
0.396 357.612 58.2855
0.384 356.654 58.9695
0.133 357.539 59.0226
0.078 357.316 58.5287
0.032 357.424 58.8429
0.239 357.004 59.2223
0.275 357.015 58.3314
0.01 357.162 58.7528
0.232 357.653 58.5362
0.247 357.606 58.4533
0.134 357.055 59.1096
0.165 356.845 58.7728
0.062 357.164 59.0337
0.171 357.082 58.422
0.226 357.663 58.565
0.226 357.27 58.325
0.227 357.647 59.0634
0.036 357.089 58.6988
0.392 357.833 58.5712
0.003 357.275 58.7512
0.341 357.774 58.5424
0.003 357.196 58.7934
0.293 356.889 58.3968
0.101 357.534 58.943
0.101 357.532 58.9474
0.074 356.978 58.7946
0.068 357.118 58.575
0.381 357.825 58.5745
0.394 357.054 59.3964
0.32 357.814 58.7546
0.18 357.237 58.3759
0.377 357.71 59.2069
0.045 357.087 58.9362
0.161 357.484 59.1261
0.369 357.017 58.239
0.009 357.182 58.7337
0.358 356.927 59.3037
0.111 356.917 58.7909
0.283 357.641 59.1602
0.231 357.188 59.2766
0.257 357.715 58.5988
0.3 356.846 59.1693
0.173 357.116 59.1938
0.383 357.849 58.6464
0.337 357.499 58.2756
0.204 357.297 59.2492
0.221 357.245 59.2701
0.14 357.381 58.4494
0.202 356.938 59.123
0.141 357.481 59.0962
0 357.25 58.8
0.124 357.003 58.5494
0.104 356.943 58.8973
0.142 357.28 59.1756
0.316 357.332 59.3561
0.383 357.24 58.1812
0.141 357.608 58.6861
0.291 356.869 58.4184
0.055 357.278 59.0328
0.319 357.34 59.3577
0.017 357.154 58.8885
0.316 356.73 59.0145
0.012 357.159 58.861
0.259 356.849 58.4869
0.259 356.818 58.5302
0.114 357.453 58.53
0.338 356.766 58.4783
0.031 357.424 58.8237
0.187 356.842 58.6564
0.039 357.446 58.8239
0.347 356.917 59.2862
0.292 357.348 58.2686
0.242 357.74 58.7621
0.132 357.495 59.0686
0.258 357.755 58.7472
0.016 357.15 58.8773
0.06 357.294 58.5591
0.016 357.168 58.8959
0.053 357.234 58.5703
0.013 357.291 58.6935
0.118 356.921 58.7023
0.307 357.593 59.2351
0.107 357.462 58.5512
0.308 357.453 59.3163
0.093 357.369 59.0806
0.246 356.782 58.9633
0.358 356.852 59.2468
0.094 357.018 58.5994
0.072 357.497 58.6946
0.144 357.165 59.1698
0.343 356.762 58.4768
0.073 356.982 58.7642
0.038 357.346 58.6304
0.098 357.445 59.0448
0.102 357.562 58.8683
0.261 357.082 58.3174
0.31 357.327 58.2486
0.128 356.931 58.9617
0.273 356.837 59.1203
0.036 357.253 58.9897
0.359 357.676 58.379
0.109 357.377 59.1046
0.079 357.251 59.0811
0.106 356.987 58.9922
0.022 357.318 58.9321
0.209 357.335 59.2491
0.047 357.3 59.011
0.369 356.778 59.1821
0.227 356.926 58.4502
0.368 356.958 59.3315
0.006 357.189 58.7522
0.081 357.187 58.5225
0.157 357.605 58.6236
0.187 356.839 58.6665
0.19 356.86 58.6046
0.052 357.263 59.0277
0.193 357.156 59.2291
0.298 357.76 58.6049
0.3 356.776 59.0748
0.296 357.734 59.0479
0.298 356.767 58.5462
0.151 357.32 58.4179
0.378 357.612 59.2968
0.269 357.683 59.0852
0.129 357.547 59.0025
0.335 356.696 58.632
0.233 356.862 59.0873
0.006 357.327 58.7965
0.333 357.768 58.5455
0.023 357.402 58.8009
0.129 357.404 59.1243
0.241 357.622 58.4795
0.358 357.828 58.9562
0.236 357.663 59.0562
0.23 357.675 59.0214
0.099 357.49 58.5967
0.339 356.756 58.4926
0.243 357.338 58.315
0.212 357.026 59.2025
0.105 357.266 59.1236
0.007 357.241 58.7168
0.177 357.276 59.2199
0.384 357.057 59.3889
0.043 357.456 58.7728
0.038 357.159 58.9726
0.17 357.504 58.4753
0.368 356.69 59.0326
0.031 357.337 58.6469
0.193 356.812 58.7647
0.234 357.523 58.4006
0.339 356.743 59.0858
0.389 356.682 58.5423
0.288 357.662 59.1434
0.231 357.353 58.3306
0.385 357.317 58.1832
0.02 357.332 58.9152
0.295 357.52 59.2711
0.04 357.396 58.9365
0.325 357.56 58.3219
0.375 356.821 59.237
0.147 357.57 58.5881
0.34 357.695 58.4238
0.111 357.56 58.923
0.09 357.053 58.5735
0.163 357.638 58.9126
0.24 357.659 59.0693
0.146 357.139 58.4343
0.377 356.678 59.0221
0.307 357.778 58.6323
0.214 357.421 59.23
0.317 356.914 59.2517
0.357 356.953 58.2813
0.054 357.198 58.5735
0.1 357.291 58.4865
0.005 357.199 58.7506
0.386 357.833 59.0138
0.127 357.302 59.1525
0.113 357.332 58.4741
0.101 356.934 58.8377
0.362 357.3 58.2004
0.241 357.028 59.238
0.122 357.259 59.1492
0.024 357.137 58.9059
0.298 357.24 59.3458
0.211 356.891 58.5137
0.299 357.174 58.2585
0.198 356.979 59.1526
0.397 357.087 59.4086
0.368 356.803 59.2105
0.373 356.82 59.2336
0.013 357.295 58.6952
0.361 356.872 58.3331
0.005 357.226 58.8667
0.1 356.936 58.7615
0.184 357.378 58.3905
0.024 357.26 58.9546
0.313 357.248 58.2405
0.037 357.084 58.7025
0.249 357.507 59.2278
0.352 357.711 59.1738
0.186 356.973 58.4692
0.017 357.379 58.8212
0.116 356.95 58.9618
0.23 357.71 58.6641
0.073 357.264 58.5302
0.318 357.763 59.0333
0.386 357.225 59.4208
0.156 357.436 58.4514
0.35 357.684 58.3984
0.042 357.393 58.9468
0.299 357.49 59.2913
0.194 356.886 59.0483
0.024 357.245 58.9548
0.244 357.727 58.6735
0.044 357.064 58.7026
0.193 357.381 58.3807
0.026 357.364 58.6863
0.018 357.383 58.8198
0.3 357.703 58.4925
0.305 357.744 58.5531
0.37 357.019 59.3629
0.032 357.426 58.7657
0.007 357.167 58.7924
0.143 357.604 58.9321
0.058 357.456 58.9249
0.108 357.451 58.5398
0.211 357.504 58.4174
0.227 357.002 59.2067
0.031 357.346 58.6527
0.204 357.016 58.4134
0.207 357.691 58.9123
0.317 357.514 59.2972
0.045 357.301 58.5942
0.247 357.29 59.2954
0.028 357.083 58.8152
0.004 357.231 58.7398
0.062 357.142 58.5755
0.335 357.702 59.161
0.299 356.839 58.4389
0.21 356.794 58.8437
0.052 357.157 59.0082
0.324 356.768 58.4967
0.199 356.823 58.9279
0.209 357.683 58.6543
0.303 357.124 58.2642
0.025 357.092 58.8102
0.237 357.29 58.3148
0.071 357.065 58.6086
0.183 357.415 59.1946
0.237 356.793 58.6332
0.109 357.439 59.0708
0.232 357.638 58.5144
0.119 357.571 58.673
0.35 357.83 58.6857
0.102 357.446 58.548
0.263 357.29 58.2888
0.01 357.204 58.7112
0.088 357.115 58.5359
0.012 357.156 58.7442
0.315 356.748 58.549
0.206 357.578 59.1134
0.11 357.207 59.1289
0.341 356.85 59.2257
0.186 356.975 59.1325
0.3 357.645 59.1797
0.089 356.96 58.8707
0.129 357.029 58.5167
0.082 357.341 58.5285
0.256 357.673 59.0776
0.016 357.151 58.8789
0.218 357.141 59.254
0.215 357.685 58.9599
0.395 357.646 58.3117
0.035 357.082 58.7183
0.015 357.217 58.918
0.147 357.035 59.1171
0.374 357.448 58.2212
0.235 357.302 58.318
0.245 357.318 58.3098
0.115 357.589 58.7926
0.109 357.336 59.1188
0.087 357.13 59.0696
0.314 356.834 59.1752
0.237 357.346 59.2772
0.126 357.505 59.0465
0.268 356.857 58.4629
0.104 357.051 58.5466
0.042 357.394 58.9461
0.298 357.173 59.3405
0.24 357.733 58.7188
0.096 357.413 58.5366
0.353 357.843 58.8407
0.143 356.965 58.5511
0.321 357.428 59.3378
0.282 356.736 58.6677
0.065 356.996 58.782
0.309 356.85 59.1858
0.045 357.436 58.9022
0.107 357.506 59.0041
0.039 357.148 58.969
0.284 357.079 58.2953
0.395 356.93 58.2591
0.342 357.445 59.3514
0.207 357.691 58.6881
0.158 356.867 58.9066
0.163 357.229 59.2032
0.261 357.526 59.2298
0.206 357.672 58.6332
0.087 357.336 58.5177
0.19 357.355 59.2231
0.185 356.844 58.6577
0.291 357.728 59.05
0.337 357.741 59.1104
0.092 357.457 58.5788
0.368 356.842 58.3515
0.291 357.357 58.2714
0.313 357.782 58.9726
0.003 357.225 58.7512
0.275 357.726 58.5808
0.312 356.805 59.1382
0.277 356.749 58.6395
0.344 356.676 58.9198
0.207 356.854 59.0246
0.201 357.696 58.7588
0.033 357.137 58.6579
0.051 357.33 59.0113
0.156 357.375 58.4252
0.021 357.26 58.6554
0.275 356.86 59.1503
0.023 357.371 58.709
0.154 356.924 58.5808
0.165 357.64 58.9142
0.365 357.837 58.657
0.239 357.087 59.2609
0.03 357.092 58.872
0.033 357.296 58.9758
0.283 356.77 58.5715
0.211 357.427 58.3763
0.086 357.028 58.9913
0.291 357.76 58.6238
0.339 356.816 59.1886
0.073 357.349 59.0514
0.309 357.362 59.3444
0.231 357.729 58.763
0.061 357.01 58.7407
0.051 357.434 58.6694
0.197 357.434 58.3959
0.216 356.792 58.7226
0.222 356.842 58.565
0.24 357.134 59.2759
0.258 357.23 58.2925
0.091 357.437 58.5631
0.383 356.736 58.4546
0.367 357.025 58.2374
0.31 356.955 58.3276
0.249 357.601 59.1548
0.284 356.734 58.666
0.284 356.725 58.8929
0.106 357.516 58.9878
0.143 357.252 59.1781
0.373 356.64 58.8247
0.051 357.365 58.9944
0.295 357.306 59.3402
0.23 356.808 58.9853
0.142 357.283 59.1754
0.333 357.534 59.3022
0.299 357.79 58.7143
0.103 357.178 58.4873
0.065 357.481 58.6916
0.071 357.516 58.7921
0.193 356.927 58.5023
0.094 357.315 59.0997
0.321 357.72 59.1159
0.229 356.793 58.658
0.179 357.447 59.1743
0.114 356.952 58.6414
0.111 357.58 58.8441
0.316 357.451 59.3251
0.348 357.49 59.3387
0.032 357.072 58.7794
0.249 357.675 59.0608
0.032 357.372 58.6688
0.153 356.878 58.922
0.239 357.638 59.0972
0.138 357.103 59.1411
0.143 357.043 58.4838
0.179 356.83 58.8544
0.349 357.498 58.2637
0.126 356.969 59.0164
0.04 357.435 58.8754
0.015 357.162 58.8851
0.104 357.423 59.0724
0.08 357.126 58.546
0.339 357.075 59.3552
0.313 357.457 59.3196
0.297 357.79 58.7252
0.033 357.389 58.6833
0.206 356.85 58.5865
0.111 357.474 58.5536
0.168 356.847 58.7246
0.225 356.842 58.5585
0.336 357.351 59.3708
0.033 357.329 58.9638
0.042 357.272 59.0038
0.149 356.864 58.7843
0.387 356.714 58.4835
0.386 357.116 59.4068
0.263 357.487 59.2547
0.014 357.186 58.7004
0.22 357.599 59.1132
0.284 357.48 59.2807
0.149 357.25 58.414
0.22 357.01 59.2028
0.108 357.286 59.1267
0.211 357.308 59.2556
0.052 357.071 58.9416
0.024 357.142 58.911
0.398 357.121 58.1824
0.149 357.293 58.4164
0.115 357.284 58.4626
0.319 356.888 59.2337
0.264 357.234 58.2864
0.018 357.345 58.8943
0.211 357.258 58.3407
0.372 356.749 58.4525
0.337 356.684 58.9291
0.369 356.779 59.1835
0.122 357.493 59.0512
0.16 357.154 59.1883
0.377 357.848 58.9391
0.328 357.58 58.3318
0.161 357.651 58.7812
0.006 357.324 58.8222
0.011 357.174 58.7273
0.293 357.309 59.3381
0.015 357.128 58.8097
0.013 357.292 58.6939
0.342 357.48 58.2623
0.185 357.548 58.4894
0.012 357.194 58.8939
0.28 357.161 59.3216
0.067 357.163 58.556
0.131 356.974 59.0345
0.326 357.759 58.5409
0.187 356.823 58.7315
0.207 357.7 58.8696
0.233 357.278 58.3181
0.384 356.754 59.1721
0.294 357.78 58.9156
0.027 357.414 58.8078
0.012 357.186 58.8891
0.27 357.589 59.1937
0.182 356.86 58.974
0.292 357.462 58.3028
0.262 357.761 58.7789
0.333 357.763 58.536
0.344 357.65 58.3712
0.225 357.714 58.7008
0.247 357.715 58.625
0.306 357.666 58.4352
0.377 357.839 58.6275
0.093 356.953 58.8693
0.075 357.331 59.0616
0.234 356.887 59.1196
0.352 357.035 58.2471
0.107 356.925 58.8367
0.393 357.339 59.4206
0.117 357.586 58.7355
0.373 357.453 58.2238
0.042 357.051 58.7505
0.161 357.085 59.1659
0.07 356.99 58.8494
0.093 356.977 58.6642
0.059 357.327 58.5695
0.118 357.569 58.9272
0.234 356.8 58.9773
0.101 357.163 58.4944
0.019 357.185 58.9215
0.148 356.871 58.8659
0.246 357.62 58.4703
0.375 356.705 59.0792
0.379 357.602 58.2951
0.273 356.91 59.1968
0.1 357.377 59.0897
0.178 357.091 59.1908
0.122 356.953 58.6169
0.39 357.444 58.2063
0.257 357.528 58.3763
0.323 356.902 58.3504
0.351 357.813 58.9832
0.301 357.603 58.38
0.029 357.206 58.9646
0.075 357.395 58.5675
0.134 357.34 58.4452
0.056 357.084 58.9686
0.122 356.971 58.5898
0.168 357.624 58.6319
0.111 357.423 58.5153
0.106 357.504 58.5963
0.099 357.534 58.664
0.328 357.002 58.2836
0.029 357.413 58.7493
0.339 356.717 59.0353
0 357.25 58.8
0.04 357.306 58.9919
0.258 357.753 58.8674
0.3 357.778 58.6553
0.092 357.123 58.5244
0.228 357.438 58.3611
0.255 356.988 58.3686
0.053 357.127 58.9945
0.049 357.436 58.6806
0.144 356.893 58.6723
0.159 356.86 58.7183
0.003 357.301 58.8187
0.136 357.373 59.1475
0.313 357.779 58.9831
0.008 357.336 58.8253
0.032 357.388 58.9136
0.343 356.681 58.6599
0.059 357.411 58.6182
0.027 357.358 58.6762
0.038 357.244 58.9949
0.085 357.311 58.5148
0.299 356.892 59.2133
0.087 357.275 59.0939
0.39 356.815 59.2479
0.282 357.776 58.8749
0.336 357.811 58.9468
0.104 357.529 58.9617
0 357.25 58.8
0.042 357.073 58.9027
0.169 357.201 58.3919
0.149 357.295 58.4166
0.262 356.941 58.3916
0.322 357.463 58.2739
0.149 356.886 58.6724
0.076 357.244 59.0756
0.182 357.275 58.3741
0.147 356.968 58.54
0.365 357.175 59.3995
0.106 357.567 58.8753
0.3 357.531 59.2699
0.076 357.49 58.9365
0.173 356.866 58.9588
0.072 357.428 59.0007
0.312 357.452 59.3206
0.043 357.414 58.6734
0.089 357.222 58.503
0.336 357.696 59.1706
0.325 356.846 59.2023
0.166 356.912 58.5732
0.062 357.177 58.562
0.392 357.555 58.2531
0.073 357.469 58.9584
0.025 357.098 58.7551
0.076 357.491 58.6666
0.208 357.625 59.0589
0.037 357.415 58.8985
0.274 356.967 58.3596
0.31 357.748 58.5501
0.009 357.155 58.7936
0.311 357.519 59.2887
0.038 357.101 58.9263
0.202 357.677 58.6602
0.229 357.717 58.9025
0.077 357.101 58.566
0.32 357.047 59.3281
0.304 356.764 58.5389
0.362 357.649 59.2502
0.086 357.191 59.0873
0.003 357.195 58.7982
0.237 356.876 59.112
0.126 357.283 58.4466
0.08 357.44 58.5901
0.089 357.548 58.8152
0.065 357.44 58.9695
0.296 356.84 58.4421
0.175 356.9 59.0298
0.296 357.793 58.8298
0.324 357.268 59.3689
0.207 356.821 58.9515
0.186 357.016 58.4374
0.013 357.146 58.8464
0.396 356.737 58.4353
0.222 357.709 58.9083
0.01 357.154 58.7722
0.281 357.676 58.4845
0.013 357.207 58.6946
0.102 357.106 58.5151
0.394 356.658 59.0075
0.196 357.392 59.2193
0.391 357.448 58.2068
0.024 357.102 58.7553
0.047 357.462 58.7526
0.109 357.094 58.5092
0.17 356.911 59.0347
0.193 357.611 58.5504
0.352 356.936 59.3037
0.057 357.012 58.8136
0.07 357.357 59.0421
0.212 357.683 58.6439
0.064 357.034 58.6685
0.006 357.218 58.8704
0.124 357.442 58.5049
0.124 357.168 59.1425
0.042 357.266 58.5957
0.365 357.101 59.3855
0.164 357.183 58.4005
0.328 356.696 58.9437
0.004 357.263 58.7382
0.253 357.118 59.2854
0.396 357.162 58.1769
0.333 357.407 58.2446
0.269 356.732 58.7834
0.065 357.504 58.7761
0.068 357.013 58.9089
0.067 357.12 59.0237
0.012 357.346 58.7468
0.095 357.079 59.0564
0.267 357.742 58.6419
0.26 357.57 59.1971
0.305 357.567 59.2522
0.377 357.034 58.2254
0.266 357.764 58.7527
0.066 357.363 59.0307
0.276 357.717 59.0411
0.279 356.982 58.345
0.032 357.088 58.8759
0.01 357.282 58.7054
0.301 356.773 58.5288
0.162 357.435 58.4426
0.175 356.905 59.036
0.084 357.092 59.0427
0.118 356.908 58.7702
0.279 357.657 58.4629
0.305 357.802 58.7799
0.337 357.379 58.2339
0.027 357.088 58.8268
0.252 357.536 58.3874
0.035 357.307 58.9783
0.165 357.174 59.199
0.245 356.777 58.9455
0.38 357.318 59.4127
0.007 357.219 58.8777
0.141 357.402 59.1436
0.005 357.281 58.7364
0.104 356.948 58.6866
0.185 357.556 58.4973
0.361 357.57 58.2916
0.057 357.367 58.5921
0.313 356.926 59.2561
0.162 357.627 58.6593
0.398 357.288 58.1702
0.119 357.009 58.5528
0.232 357.143 59.2696
0.365 356.96 59.33
0.072 357.214 59.0659
0.384 356.658 58.9825
0.227 357.488 58.3873
0.222 357.449 58.3731
0.07 357.029 58.9448
0.374 357.819 59.0251
0.345 356.851 59.2311
0.358 357.8 59.0349
0.389 357.032 58.2155
0.206 357.324 58.3522
0.19 356.878 58.5722
0.099 357.547 58.696
0.028 357.414 58.831
0.012 357.35 58.8441
0.3 357.664 59.1586
0.046 357.111 58.9633
0.004 357.21 58.7512
0.283 356.85 58.4494
0.393 357.346 58.1805
0.185 356.82 58.8044
0.257 357.753 58.8632
0.334 357.301 58.2244
0.096 356.941 58.7757
0.05 357.127 58.6134
0.242 356.794 58.616
0.348 357.362 58.2207
0.312 356.713 58.9531
0.24 357.733 58.8797
0.303 356.703 58.8586
0.097 357.224 59.1104
0.346 357.565 58.3034
0.335 357.744 58.4981
0.136 356.882 58.7729
0.202 357.016 58.4165
0.133 357.613 58.8369
0.191 356.849 58.6272
0.348 357.769 58.5197
0.216 356.801 58.6807
0.12 356.926 58.6775
0.069 357.513 58.791
0.324 356.801 58.4495
0.081 357.367 58.5404
0.244 357.527 59.2093
0.332 357.307 58.2267
0.162 356.854 58.7269
0.145 357.056 59.1275
0.089 357.16 59.0844
0.354 356.724 59.0782
0.158 357.224 59.1966
0.387 357.211 58.1791
0.258 357.044 59.2643
0.325 356.859 59.215
0.219 356.937 58.4521
0.029 357.163 58.9462
0.397 356.701 58.4904
0.145 357.194 58.4234
0.099 357.523 58.9559
0.094 357.293 58.4965
0.042 357.051 58.8506
0.134 357.043 59.1019
0.364 357.143 58.2062
0.26 357.261 59.3098
0.102 357.539 58.6633
0.05 357.447 58.9058
0.187 357.663 58.6729
0.001 357.281 58.7943
0.063 357.362 59.0247
0.358 356.988 59.3381
0.381 357.643 59.2758
0 357.25 58.8
0.144 357.475 58.4941
0.24 357.495 58.3757
0.18 357.494 59.1469
0.21 357.381 58.3608
0.05 357.089 58.9553
0.353 357.724 59.1583
0.043 357.117 58.9593
0.255 357.692 59.0445
0.177 357.449 58.4294
0.157 357.295 59.1937
0.232 357.708 58.95
0.218 356.974 58.4236
0.207 357.642 58.5696
0.044 357.185 58.9993
0.18 356.83 58.7386
0.274 356.791 59.052
0.308 356.889 58.3787
0.399 357.313 58.1714
0.088 356.968 58.7073
0.356 357.837 58.6941
0.114 357.507 59.0192
0.384 356.847 58.3293
0.113 357.275 59.1352
0.085 356.96 58.7695
0.271 357.575 59.2066
0.077 357.402 59.0321
0.113 357.15 58.4791
0.099 357.396 59.0786
0.347 357.016 59.3404
0.155 357.634 58.8855
0.05 357.028 58.7695
0.349 357.84 58.8351
0.076 357.317 58.5327
0.287 357.215 59.3346
0.079 357.034 58.9794
0.047 357.414 58.9417
0.258 357.607 59.161
0.069 357.409 59.0088
0.153 357.625 58.6891
0.399 357.086 59.4099
0.072 357.049 58.6219
0.023 357.197 58.6581
0.147 357.521 59.0711
0.035 357.387 58.6729
0.126 356.899 58.8529
0.053 357.465 58.7177
0.2 357.65 58.5996
0.087 357.394 59.0575
0.177 357.29 58.3812
0.381 356.677 59.0306
0.103 357.476 58.5723
0.12 357.591 58.7373
0.22 356.807 58.6446
0.153 357.641 58.7839
0.111 356.992 59.0108
0.05 357.466 58.7426
0.184 357.501 59.1476
0.06 357.005 58.7952
0.153 357.127 58.4289
0.01 357.166 58.7451
0.238 356.774 58.6951
0.208 357.026 58.4029
0.165 356.872 58.9496
0.301 357.746 59.034
0.168 357.202 59.2071
0.032 357.343 58.6472
0.069 357.067 58.6117
0.236 357.569 59.1667
0.108 357.315 59.1222
0.289 357.767 58.947
0.204 357.699 58.8477
0.386 356.806 59.2341
0.137 356.881 58.8245
0.331 356.725 58.5652
0.23 357.715 58.9185
0.134 357.021 58.5142
0.027 357.188 58.648
0.192 357.266 59.2379
0.341 357.283 59.383
0.091 357.122 58.5267
0.097 357.035 58.5746
0.181 357.602 58.5616
0.155 356.919 59.0126
0.259 357.463 58.3377
0.127 357.444 58.5011
0.312 356.838 58.423
0.218 357.342 59.2578
0.083 356.986 58.9147
0.252 357.083 58.3267
0.084 357.524 58.8954
0.216 356.92 59.1274
0.015 357.149 58.8691
0.087 357.543 58.7624
0.368 357.248 58.1934
0.359 356.752 58.4673
0.133 357.059 59.1104
0.229 357.496 58.3895
0.339 356.719 59.0382
0.281 356.789 58.5379
0.339 357.832 58.8286
0.185 357.626 59.0084
0.387 357.252 59.4221
0.045 357.129 58.9742
0.389 357.861 58.9249
0.092 357.546 58.8659
0.202 357.07 58.3881
0.307 357.077 58.2737
0.242 357.536 58.3998
0.027 357.161 58.9384
0.073 357.466 58.6376
0.006 357.327 58.8012
0.034 357.251 58.9844
0.198 357.374 58.3725
0.056 357.428 58.6445
