LongitudOnda Emision
270 0.0921
280 0.077652
290 0.0042408
300 0.049055
310 0.034728
320 0.33099
330 0.49410
340 0.58336
350 0.59861
360 0.79136
370 1.0137
380 1.0586
390 1.2365
400 1.8876
410 1.9177
420 2.0660
430 1.6821
440 2.8359
450 3.3984
460 3.5172
470 3.6064
480 4.3019
490 4.4947
500 4.3916
510 4.6288
520 4.6735
530 5.0586
540 5.0147
550 5.3553
560 5.3114
570 5.6372
580 6.0073
590 5.8452
600 6.3041
610 6.4821
620 6.7191
630 6.6753
640 6.9272
650 7.3382
660 7.8201
670 8.2151
